,Name,Symbol,Sector,Market Cap Category,Market Capital,Close Price,Total Revenue,Promoters Holding,Return on Equity,Earnings Per Share,PE Ratio,PB Ratio,Dividend Yield,Debt to Equity,5 Year CAGR,Current Ratio,EBITDA,Net Profit Margin,Net Income,Revenue Growth
0,Reliance Industries Ltd,RELIANCE,Oil and Gas,Large Cap,1530661.08,2385.4,718061.0,49.11,7.19,89.75,25.21,1.72,0.35,35.9,20.26,1.12,128523.0,8.45,60705.0,42.15
1,Tata Consultancy Services Ltd,TCS,IT Services and Consulting,Large Cap,1215335.62,3342.15,195772.0,72.3,43.32,104.18,31.71,13.53,1.29,8.7,17.09,2.56,57075.0,19.58,38327.0,17.01
2,HDFC Bank Ltd,HDFCBANK,Private Banks,Large Cap,883956.05,1615.9,167695.4,25.6,16.6,68.82,23.23,3.56,0.97,0.0,11.51,0.1,52554.11,22.69,38052.75,7.58
3,Infosys Ltd,INFY,IT Services and Consulting,Large Cap,608746.73,1479.3,123936.0,13.18,28.99,52.4,27.53,8.04,2.14,7.23,20.58,2.0,33786.0,17.84,22110.0,20.71
4,ICICI Bank Ltd,ICICIBANK,Private Banks,Large Cap,596182.4,868.55,157536.32,0.0,14.14,36.22,23.74,3.17,0.58,0.0,23.29,0.17,35571.29,15.94,25110.11,-2.27
5,Hindustan Unilever Ltd,HINDUNILVR,FMCG,Large Cap,576906.89,2471.0,52887.0,61.9,18.35,37.79,64.97,11.75,1.38,2.12,13.29,1.38,13076.0,16.79,8879.0,11.21
6,State Bank of India,SBIN,Public Banks,Large Cap,476351.16,561.2,406973.09,57.5,11.75,39.64,13.47,1.5,1.33,0.0,16.44,0.1,53429.9,8.69,35373.88,5.61
7,Housing Development Finance Corporation Ltd,HDFC,Finance,Large Cap,476591.44,2646.1,144937.87,0.0,12.61,124.94,21.09,2.47,1.14,263.44,7.84,0.12,28670.74,15.59,22594.69,-0.72
8,Bharti Airtel Ltd,BHARTIARTL,Telecom,Large Cap,425712.15,764.4,122048.4,55.12,4.91,7.41,100.05,4.63,0.41,184.56,12.73,0.46,62190.0,3.49,4254.9,8.6
9,Adani Enterprises Ltd,ADANIENT,Trading,Large Cap,183226.68,1879.5,70432.69,72.63,3.39,7.06,235.95,6.8,0.06,154.5,56.67,0.71,4725.71,1.1,776.56,74.81
10,Life Insurance Corporation Of India,LICI,Insurance,Large Cap,380195.61,615.45,724744.32,96.5,44.73,12.84,92.18,33.18,0.25,0.01,0.0,2.78,12574.07,0.57,4124.71,2.99
11,ITC Ltd,ITC,FMCG,Large Cap,466447.8,384.95,62521.92,0.0,24.68,12.38,30.6,7.42,3.04,0.4,7.84,2.81,22532.87,24.38,15242.66,20.45
12,Adani Total Gas Ltd,ATGL,Gas Distribution,Large Cap,81836.87,781.3,3079.31,74.8,23.42,4.63,160.65,33.87,0.03,42.84,0.0,0.25,814.5,16.54,509.4,76.98
13,Bajaj Finance Ltd,BAJFINANCE,Finance,Large Cap,367604.61,6100.05,31640.41,55.91,17.43,116.67,52.3,8.41,0.33,378.0,29.74,0.39,9888.35,22.21,7028.23,18.58
14,Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks,Large Cap,342535.54,1751.0,59051.01,25.95,13.28,60.96,28.33,3.53,0.06,0.0,9.83,0.17,16428.66,20.47,12089.4,4.69
15,Adani Green Energy Ltd,ADANIGREEN,Renewable Energy,Large Cap,84745.74,561.75,5642.0,60.75,20.63,3.13,173.3,32.42,0.0,2021.12,0.0,0.48,4019.0,8.67,489.0,56.5
16,Asian Paints Ltd,ASIANPAINT,Chemicals,Large Cap,271725.7,2828.85,29512.86,52.63,22.1,31.59,89.66,19.14,0.68,11.18,20.38,2.0,5099.49,10.27,3030.57,33.88
17,Larsen and Toubro Ltd,LT,Construction and Infrastructure,Large Cap,298177.4,2152.05,158885.24,0.0,9.39,61.71,34.39,3.12,1.04,131.07,10.35,1.31,26690.59,5.46,8669.33,7.61
18,Adani Transmission Ltd,ADANITRANS,Power,Large Cap,79060.54,744.15,12543.94,74.19,11.46,10.95,65.63,7.18,0.0,271.67,29.52,0.8,5492.59,9.6,1204.61,13.6
19,Axis Bank Ltd,AXISBANK,Private Banks,Large Cap,260083.86,852.65,86114.19,8.19,12.7,46.04,18.42,2.19,0.12,0.0,10.15,0.14,19975.05,16.4,14119.29,10.44
20,HCL Technologies Ltd,HCLTECH,IT Services and Consulting,Large Cap,299418.83,1119.0,86718.0,60.72,22.11,49.74,22.18,4.83,3.81,10.23,18.87,2.56,21596.0,15.57,13499.0,13.65
21,Avenue Supermarts Ltd,DMART,Retail,Large Cap,223041.78,3463.25,31093.76,74.99,11.54,23.04,149.44,16.31,0.0,4.73,21.38,2.83,2615.99,4.8,1492.55,27.75
22,Maruti Suzuki India Ltd,MARUTI,Automobiles,Large Cap,258240.69,8601.25,90236.4,56.37,7.2,128.43,66.57,4.67,0.7,0.77,-0.62,0.99,7612.8,4.3,3879.5,22.81
23,Bajaj Finserv Ltd,BAJAJFINSV,Insurance,Large Cap,213696.1,1355.35,68438.98,60.75,7.31,28.63,46.9,3.22,0.03,243.03,22.07,0.15,11833.31,6.66,4556.77,12.95
24,Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals,Large Cap,231607.8,966.9,39729.96,54.48,6.51,13.64,70.77,4.54,1.04,2.53,12.55,2.04,6752.41,8.24,3272.73,15.64
25,Titan Company Ltd,TITAN,Diamond and Jewellery,Large Cap,209424.32,2396.1,29033.0,52.9,25.82,24.48,96.38,22.44,0.32,77.95,24.22,1.66,3521.0,7.48,2173.0,33.0
26,Wipro Ltd,WIPRO,IT Services and Consulting,Large Cap,212491.38,390.45,81378.9,72.94,20.3,22.31,17.38,3.25,1.55,26.88,12.17,2.01,18751.1,15.03,12229.6,26.49
27,UltraTech Cement Ltd,ULTRACEMCO,Cement,Large Cap,210426.51,7215.95,53268.26,59.96,15.53,254.43,28.65,4.17,0.52,22.4,11.68,0.87,12183.78,13.79,7344.31,16.8
28,JSW Steel Ltd,JSWSTEEL,Metals and Mining,Large Cap,162260.21,682.3,148819.0,45.19,36.39,68.51,7.85,2.37,3.23,105.31,17.43,1.14,40714.0,13.89,20665.0,85.02
29,Oil and Natural Gas Corporation Ltd,ONGC,Oil and Gas,Large Cap,193799.2,154.25,500171.36,58.89,17.31,36.19,4.26,0.68,6.82,43.05,-4.05,0.83,86670.31,9.1,45522.12,58.7
30,Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Logistics,Large Cap,134555.05,684.65,18281.66,65.13,13.33,22.82,28.46,3.47,0.78,122.86,11.01,1.6,10821.37,25.86,4728.09,25.91
31,NTPC Ltd,NTPC,Power,Large Cap,165619.06,172.6,137580.05,51.1,12.43,17.2,9.93,1.19,4.1,151.44,4.91,0.76,45170.9,12.12,16675.9,16.38
32,Mahindra and Mahindra Ltd,MandM,Automobiles,Large Cap,149750.53,1268.6,93545.23,19.39,12.24,59.19,22.77,2.64,0.86,136.57,11.61,1.34,17887.32,7.03,6577.32,21.37
33,Power Grid Corporation of India Ltd,POWERGRID,Power,Large Cap,153704.1,222.1,46341.99,51.34,23.02,24.12,9.14,2.02,6.69,176.66,8.45,0.5,40517.52,36.3,16824.07,11.66
34,Coal India Ltd,COALINDIA,Metals and Mining,Large Cap,137336.4,222.95,113618.02,66.13,42.98,28.17,7.91,3.13,7.63,8.02,-6.55,1.62,28586.44,15.28,17358.1,21.17
35,Tata Steel Ltd,TATASTEEL,Metals and Mining,Large Cap,126975.84,107.0,246198.63,33.9,41.27,33.1,3.16,1.08,4.91,64.53,9.65,1.02,64789.94,16.31,40153.93,55.95
36,Hindustan Zinc Ltd,HINDZINC,Metals and Mining,Large Cap,132041.22,311.75,30656.0,64.92,28.92,22.79,13.71,3.85,5.76,8.3,-0.25,3.94,17307.0,31.41,9629.0,25.39
37,Pidilite Industries Ltd,PIDILITIND,Chemicals,Large Cap,117415.51,2318.75,9969.14,69.94,19.42,23.76,97.23,17.78,0.43,6.3,20.99,1.73,1895.47,12.11,1207.56,35.15
38,LTIMindtree Ltd,LTIM,IT Services and Consulting,Large Cap,139189.15,4710.35,16135.4,68.69,28.48,131.43,60.6,15.78,0.69,9.47,27.35,3.04,3525.1,14.23,2296.8,27.61
39,Tata Motors Ltd,TATAMOTORS,Automobiles,Large Cap,150700.78,428.0,281617.5,46.39,-21.66,-34.45,-13.17,3.09,0.0,299.9,2.91,0.98,27144.14,-4.06,-13072.43,-4.39
40,SBI Life Insurance Company Ltd,SBILIFE,Insurance,Large Cap,110111.68,1129.25,84015.6,55.45,13.68,15.06,73.12,9.47,0.18,0.0,10.35,1.48,1761.81,1.79,1505.99,1.49
41,HDFC Life Insurance Company Ltd,HDFCLIFE,Insurance,Large Cap,103745.22,489.95,67891.6,50.32,10.94,6.42,78.18,6.64,0.35,3.84,1.67,0.9,1543.52,1.95,1326.93,-5.67
42,Adani Power Ltd,ADANIPOWER,Power,Large Cap,62193.14,169.3,31686.47,74.97,30.64,12.73,12.66,3.3,0.0,258.48,40.11,0.95,13789.45,15.5,4911.58,12.56
43,Vedanta Ltd,VEDL,Metals and Mining,Large Cap,101960.16,289.25,135332.0,69.69,23.48,50.54,5.42,1.23,16.42,64.78,-2.2,1.04,46656.0,13.89,18802.0,48.0
44,Grasim Industries Ltd,GRASIM,Cement,Large Cap,104955.17,1596.25,97418.54,42.75,6.9,114.71,13.9,0.9,0.63,64.32,6.47,0.98,22079.67,7.75,7549.78,25.09
45,Indian Oil Corporation Ltd,IOC,Oil and Gas,Large Cap,110004.45,78.2,593653.52,51.5,20.25,18.23,4.38,0.81,10.52,97.7,-9.26,0.76,50936.9,4.23,25102.23,61.04
46,Hindalco Industries Ltd,HINDALCO,Metals and Mining,Large Cap,91933.78,416.9,197042.0,34.64,18.97,61.74,6.7,1.18,0.97,82.46,11.6,1.28,29600.0,6.97,13730.0,47.78
47,Ambuja Cements Ltd,AMBUJACEM,Cement,Large Cap,73607.87,391.85,31461.17,63.22,9.03,9.76,37.97,2.26,0.0,1.47,9.13,1.52,4188.41,6.16,1938.46,7.24
48,Britannia Industries Ltd,BRITANNIA,FMCG,Large Cap,105842.35,4411.95,14359.09,50.55,49.43,63.31,69.41,40.94,1.29,95.96,12.28,0.96,2423.16,10.62,1524.82,6.76
49,Bajaj Auto Ltd,BAJAJ-AUTO,Automobiles,Large Cap,105125.73,3732.0,35824.89,54.98,21.58,213.08,17.05,3.52,3.85,0.41,4.32,2.21,7930.1,17.21,6165.87,22.17
50,Siemens Ltd,SIEMENS,Insurance,Large Cap,111538.64,3163.6,16624.4,75.0,14.04,43.33,72.29,9.6,0.32,0.0,22.37,1.91,2346.2,9.28,1542.9,22.97
51,Dabur India Ltd,DABUR,FMCG,Large Cap,93921.18,534.8,11281.84,66.24,21.58,9.84,54.0,11.15,0.98,12.23,10.46,1.3,2560.17,15.42,1739.22,14.11
52,Tech Mahindra Ltd,TECHM,IT Services and Consulting,Large Cap,108095.04,1085.15,45761.1,35.19,21.15,63.56,19.42,3.95,3.65,9.56,12.14,1.96,9135.1,12.16,5566.1,18.42
